// Start Time: Unknown
// Update Rate: Various
// Filter Profile: General (1.17)
// Option Flags: AHS Enabled ICC Enabled 
// GNSS Platform: Portable
// Firmware Version: 1.4.12
PacketCounter	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
48637									0.184488	-0.047381	9.830111	-0.002313	0.002548	-0.003579	-0.029939	0.389213	1.045701			
48638									0.170348	-0.054598	9.813328	0.001548	0.000979	-0.003903	-0.032916	0.390002	1.059056			
48639									0.175070	-0.061715	9.827694	-0.000028	-0.000962	-0.004548	-0.027617	0.391545	1.047845			
48640									0.191951	-0.068754	9.810964	0.000581	0.000974	-0.002300	-0.025941	0.384968	1.057726			
48641									0.187161	-0.068783	9.813349	0.003126	0.001640	-0.000696	-0.029797	0.393867	1.045706			
48642									0.196559	-0.049688	9.813374	-0.000057	0.001288	-0.003583	-0.028121	0.387289	1.055588			
48643									0.189315	-0.054494	9.830115	-0.002282	0.000622	-0.005507	-0.027849	0.386991	1.049776			
48644									0.182134	-0.040251	9.818142	0.005063	0.001654	-0.004224	-0.028444	0.382834	1.059456			
48645									0.194087	-0.052086	9.827731	-0.000024	-0.002241	-0.001988	-0.032553	0.389605	1.051307			
48646									0.177525	-0.056937	9.813339	0.002499	0.001951	-0.004222	-0.030372	0.387284	1.053446			
48647									0.177439	-0.061702	9.830092	0.002479	0.002914	-0.002617	-0.027668	0.386793	1.045902			
48648									0.201374	-0.071086	9.830127	-0.002625	0.002865	-0.006143	-0.028232	0.389814	1.059465			
48649									0.191669	-0.061624	9.842083	-0.000358	0.001278	-0.008071	-0.027526	0.391446	1.045908			
48650									0.182225	-0.049770	9.815744	-0.000975	-0.002252	-0.003911	-0.028303	0.387488	1.059462			
48651									0.170171	-0.047463	9.830087	0.001891	-0.001584	-0.002627	-0.020914	0.386808	1.052327			
48652									0.179824	-0.056927	9.825311	0.003479	0.000035	-0.003906	-0.035439	0.390295	1.062726			
48653									0.194322	-0.078265	9.822931	0.001239	-0.000305	-0.003265	-0.027738	0.384466	1.045899			
48654									0.186930	-0.056888	9.832503	0.000925	-0.000310	-0.004548	-0.028050	0.389616	1.055590			
48655									0.182190	-0.049772	9.820531	0.001534	0.001303	-0.001659	-0.030171	0.384659	1.047632			
48656									0.198983	-0.056815	9.815768	-0.000035	-0.000317	-0.004228	-0.019025	0.387211	1.062217			
48657									0.194391	-0.075881	9.810964	0.001258	-0.001588	-0.003909	-0.041709	0.396962	1.050498			
48658									0.179863	-0.071210	9.834878	0.000268	0.000327	-0.002622	-0.026011	0.382641	1.057723			
48659									0.184649	-0.059278	9.820531	0.001580	-0.000627	-0.006793	-0.030030	0.389313	1.047638			
48660									0.191755	-0.059240	9.827723	0.000250	0.001932	-0.002619	-0.032573	0.392031	1.053247			
48661									0.203776	-0.068691	9.825345	-0.000016	-0.002241	-0.003911	-0.037036	0.387169	1.045085			
48662									0.189477	-0.068772	9.822927	0.000584	0.000652	-0.002301	-0.028263	0.382636	1.055582			
48663									0.191700	-0.052100	9.827727	0.003140	0.001637	-0.003903	-0.030403	0.380105	1.049563			
48664									0.187089	-0.064024	9.818139	0.001574	-0.001265	-0.003909	-0.030554	0.387482	1.057320			
48665									0.179969	-0.073587	9.822909	0.002491	0.001632	-0.001978	-0.023165	0.386803	1.050185			
48666									0.170244	-0.056983	9.830082	0.001205	0.003220	-0.004860	-0.028413	0.390013	1.063339			
48667									0.182264	-0.061673	9.822919	0.000884	0.002579	-0.002938	-0.034714	0.389501	1.047229			
48668									0.172502	-0.037929	9.827702	0.003488	-0.001248	-0.002627	-0.021206	0.389532	1.060078			
48669									0.201299	-0.056804	9.825347	0.001556	0.000660	-0.004867	-0.022822	0.388832	1.044377			
48670									0.177473	-0.056939	9.820520	0.002194	0.000984	-0.005186	-0.032553	0.389605	1.051307			
48671									0.177546	-0.066459	9.820515	0.000586	0.001611	-0.005184	-0.027798	0.391744	1.051719			
48672									0.172684	-0.059348	9.825298	0.002823	0.001311	-0.003903	-0.030897	0.385454	1.063129			
48673									0.170298	-0.061743	9.827686	0.001542	0.001299	-0.003582	-0.027597	0.389119	1.045905			
